,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
1221,CA,RE Garland A,IPP Non-CHP,Kern,34.821453,-118.497406,Southern Power Co,California Independent System Operator,SOLAR,20.2,48290,,0,0,0,0,0,0,48290,0,0,0,48290
1222,CA,RE Kammerer 1 LLC,IPP Non-CHP,Sacramento,38.365053,-121.381101,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11319,,0,0,0,0,0,0,11319,0,0,0,11319
1223,CA,RE Kammerer 2 LLC,IPP Non-CHP,Sacramento,38.365053,-121.381101,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11377,,0,0,0,0,0,0,11377,0,0,0,11377
1224,CA,RE Kammerer 3 LLC,IPP Non-CHP,Sacramento,38.365053,-121.381101,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11312,,0,0,0,0,0,0,11312,0,0,0,11312
1225,CA,"RE Kansas Solar, LLC",IPP Non-CHP,Kings,36.247778,-119.833889,Onward Energy,California Independent System Operator,SOLAR,20,43245,,0,0,0,0,0,0,43245,0,0,0,43245
1226,CA,RE Kansas South LLC,IPP Non-CHP,Kings,36.226111,-119.834167,RE Kansas South LLC,California Independent System Operator,SOLAR,20,53247,,0,0,0,0,0,0,53247,0,0,0,53247
1227,CA,"RE Kent South, LLC",IPP Non-CHP,Kings,36.226111,-119.905278,Onward Energy,California Independent System Operator,SOLAR,20,49267,,0,0,0,0,0,0,49267,0,0,0,49267
1228,CA,RE McKenzie 1 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11995,,0,0,0,0,0,0,11995,0,0,0,11995
1229,CA,RE McKenzie 2 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11769,,0,0,0,0,0,0,11769,0,0,0,11769
1230,CA,RE McKenzie 3 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11835,,0,0,0,0,0,0,11835,0,0,0,11835
1231,CA,RE McKenzie 4 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11806,,0,0,0,0,0,0,11806,0,0,0,11806
1232,CA,RE McKenzie 5 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11930,,0,0,0,0,0,0,11930,0,0,0,11930
1233,CA,RE McKenzie 6 LLC,IPP Non-CHP,Sacramento,38.302594,-121.295819,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11959,,0,0,0,0,0,0,11959,0,0,0,11959
1234,CA,RE Mustang LLC,IPP Non-CHP,Kings,36.221667,-119.903056,MN8 Energy LLC,California Independent System Operator,SOLAR,175,202806,,0,0,0,0,0,0,218523,0,0,-15717,218523
1235,CA,"RE Old River One, LLC",IPP Non-CHP,Kern,35.223333,-119.088889,Onward Energy,California Independent System Operator,SOLAR,20,46358,,0,0,0,0,0,0,46358,0,0,0,46358
1236,CA,RE Rio Grande Solar LLC,IPP Non-CHP,Kern,35.00745,-118.16451,MN8 Energy LLC,California Independent System Operator,SOLAR,5,9515,,0,0,0,0,0,0,9515,0,0,0,9515
1237,CA,RE Rosamond One LLC,IPP Non-CHP,Kern,34.9,-118.246944,MN8 Energy LLC,California Independent System Operator,SOLAR,20,56673,,0,0,0,0,0,0,56673,0,0,0,56673
1238,CA,RE Rosamond Two LLC,IPP Non-CHP,Kern,34.900278,-118.238333,MN8 Energy LLC,California Independent System Operator,SOLAR,20,40035,,0,0,0,0,0,0,40035,0,0,0,40035
1239,CA,RE Tranquillity,IPP Non-CHP,Fresno,36.581365,-120.40447,Southern Power Co,California Independent System Operator,SOLAR,277.3,424917,,0,0,0,0,0,0,435092,0,0,-10175,435092
1240,CA,RE Victor Phelan Solar One LLC,IPP Non-CHP,San Bernardino,34.51231,-117.47753,MN8 Energy LLC,California Independent System Operator,SOLAR,20,42114,,0,0,0,0,0,0,42114,0,0,0,42114
